last_name,first_name,up_2018,up_2020,up_2022,gender,type,state,district,party,person,race_ethnicity,white,black,latinx,asian,poc,lgbtq
Luetkemeyer,Blaine,,,,M,rep,MO,3,Republican,412305,white,1,0,0,0,0,0
Smith,Jason,,,,M,rep,MO,8,Republican,412613,white,1,0,0,0,0,0
Wagner,Ann,,,,F,rep,MO,2,Republican,412566,white,1,0,0,0,0,0
Sablan,Gregorio,,,,M,rep,MP,0,Democrat,400403,asian,0,0,0,1,1,0
Harper,Gregg,,,,M,rep,MS,3,Republican,400245,white,1,0,0,0,0,0
Kelly,Trent,,,,M,rep,MS,1,Republican,412677,white,1,0,0,0,0,0
Palazzo,Steven,,,,M,rep,MS,4,Republican,400350,white,1,0,0,0,0,0
Thompson,Bennie,,,,M,rep,MS,2,Democrat,412211,black,0,1,0,0,1,0
Adams,Alma,,,,F,rep,NC,12,Democrat,412618,black,0,1,0,0,1,0
Budd,Ted,,,,M,rep,NC,13,Republican,412713,white,1,0,0,0,0,0
Butterfield,George,,,,M,rep,NC,1,Democrat,400141,black,0,1,0,0,1,0
Foxx,Virginia,,,,F,rep,NC,5,Republican,400219,white,1,0,0,0,0,0
Holding,George,,,,M,rep,NC,2,Republican,412570,white,1,0,0,0,0,0
Hudson,Richard,,,,M,rep,NC,8,Republican,412567,white,1,0,0,0,0,0
Jones,Walter,,,,M,rep,NC,3,Republican,412487,white,1,0,0,0,0,0
McHenry,Patrick,,,,M,rep,NC,10,Republican,412432,white,1,0,0,0,0,0
Meadows,Mark,,,,M,rep,NC,11,Republican,412569,white,1,0,0,0,0,0
Pittenger,Robert,,,,M,rep,NC,9,Republican,412568,white,1,0,0,0,0,0
Price,David,,,,M,rep,NC,4,Democrat,400363,white,1,0,0,0,0,0
Rouzer,David,,,,M,rep,NC,7,Republican,412654,white,1,0,0,0,0,0
Walker,Mark,,,,M,rep,NC,6,Republican,412418,white,1,0,0,0,0,0
Cramer,Kevin,,,,M,rep,ND,0,Republican,412571,white,1,0,0,0,0,0
Bacon,Don,,,,M,rep,NE,2,Republican,412714,white,1,0,0,0,0,0
Fortenberry,Jeff,,,,M,rep,NE,1,Republican,400218,white,1,0,0,0,0,0
Smith,Adrian,,,,M,rep,NE,3,Republican,400433,white,1,0,0,0,0,0
Kuster,Ann,,,,F,rep,NH,2,Democrat,412572,white,1,0,0,0,0,0
Shea-Porter,Carol,,,,F,rep,NH,1,Democrat,412682,white,1,0,0,0,0,0
Frelinghuysen,Rodney,,,,M,rep,NJ,11,Republican,412421,white,1,0,0,0,0,0
Gottheimer,Josh,,,,M,rep,NJ,5,Democrat,412715,white,1,0,0,0,0,0
Lance,Leonard,,,,M,rep,NJ,7,Republican,400289,white,1,0,0,0,0,0
LoBiondo,Frank,,,,M,rep,NJ,2,Republican,400309,white,1,0,0,0,0,0
MacArthur,Tom,,,,M,rep,NJ,3,Republican,412655,white,1,0,0,0,0,0
Norcross,Donald,,,,M,rep,NJ,1,Democrat,412617,white,1,0,0,0,0,0
Pallone,Frank,,,,M,rep,NJ,6,Democrat,400351,white,1,0,0,0,0,0
Pascrell,Bill,,,,M,rep,NJ,9,Democrat,400352,white,1,0,0,0,0,0
Payne,Donald,,,,M,rep,NJ,10,Democrat,412529,black,0,1,0,0,1,0
Sires,Albio,,,,M,rep,NJ,8,Democrat,400422,latinx,0,0,1,0,1,0
Smith,Christopher,,,,M,rep,NJ,4,Republican,412412,white,1,0,0,0,0,0
Watson Coleman,Bonnie,,,,F,rep,NJ,12,Democrat,412656,black,0,1,0,0,1,0
Lujan Grisham,Michelle,,,,F,rep,NM,1,Democrat,412573,latinx,0,0,1,0,1,0
Lujan,Ben,,,,M,rep,NM,3,Democrat,400316,latinx,0,0,1,0,1,0
Pearce,Stevan,,,,M,rep,NM,2,Republican,412212,white,1,0,0,0,0,0
Amodei,Mark,,,,M,rep,NV,2,Republican,412523,white,1,0,0,0,0,0
Kihuen,Ruben,,,,M,rep,NV,4,Democrat,412717,latinx,0,0,1,0,1,0
Rosen,Jacky,,,,F,rep,NV,3,Democrat,412716,white,1,0,0,0,0,0
Titus,Dina,,,,F,rep,NV,1,Democrat,412532,white,1,0,0,0,0,0
Clarke,Yvette,,,,F,rep,NY,9,Democrat,400157,black,0,1,0,0,1,0
Collins,Chris,,,,M,rep,NY,27,Republican,412578,white,1,0,0,0,0,0
Crowley,Joseph,,,,M,rep,NY,14,Democrat,412281,white,1,0,0,0,0,0
Donovan,Daniel,,,,M,rep,NY,11,Republican,412676,white,1,0,0,0,0,0
Engel,Eliot,,,,M,rep,NY,16,Democrat,400209,white,1,0,0,0,0,0
Espaillat,Adriano,,,,M,rep,NY,13,Democrat,412719,latinx,0,0,1,0,1,0
Faso,John,,,,M,rep,NY,19,Republican,412720,white,1,0,0,0,0,0
Higgins,Brian,,,,M,rep,NY,26,Democrat,400249,white,1,0,0,0,0,0
Jeffries,Hakeem,,,,M,rep,NY,8,Democrat,412575,black,0,1,0,0,1,0
Katko,John,,,,M,rep,NY,24,Republican,412660,white,1,0,0,0,0,0
King,Peter,,,,M,rep,NY,2,Republican,400284,white,1,0,0,0,0,0
Lowey,Nita,,,,F,rep,NY,17,Democrat,400314,white,1,0,0,0,0,0
Maloney,Carolyn,,,,F,rep,NY,12,Democrat,400652,white,1,0,0,0,0,0
Maloney,Sean,,,,M,rep,NY,18,Democrat,412576,white,1,0,0,0,0,1
Meeks,Gregory,,,,M,rep,NY,5,Democrat,400343,black,0,1,0,0,1,0
Meng,Grace,,,,F,rep,NY,6,Democrat,412574,asian,0,0,0,1,1,0
Nadler,Jerrold,,,,M,rep,NY,10,Democrat,400344,white,1,0,0,0,0,0
Reed,Tom,,,,M,rep,NY,23,Republican,412471,white,1,0,0,0,0,0
Rice,Kathleen,,,,F,rep,NY,4,Democrat,412658,white,1,0,0,0,0,0
Serrano,Jose,,,,M,rep,NY,15,Democrat,400415,latinx,0,0,1,0,1,0
Slaughter,Louise,,,,F,rep,NY,25,Democrat,412410,white,1,0,0,0,0,0
Stefanik,Elise,,,,F,rep,NY,21,Republican,412659,white,1,0,0,0,0,0
Suozzi,Thomas,,,,M,rep,NY,3,Democrat,412718,white,1,0,0,0,0,0
Tenney,Claudia,,,,F,rep,NY,22,Republican,412721,white,1,0,0,0,0,0
Tonko,Paul,,,,M,rep,NY,20,Democrat,412501,white,1,0,0,0,0,0
Velazquez,Nydia,,,,F,rep,NY,7,Democrat,412507,latinx,0,0,1,0,1,0
Zeldin,Lee,,,,M,rep,NY,1,Republican,412657,white,1,0,0,0,0,0
Beatty,Joyce,,,,F,rep,OH,3,Democrat,412580,black,0,1,0,0,1,0
Chabot,Steve,,,,M,rep,OH,1,Republican,400651,white,1,0,0,0,0,0
Davidson,Warren,,,,M,rep,OH,8,Republican,412679,white,1,0,0,0,0,0
